CENTRAL POLLUTION CONTROL BOARD,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,
"Date: Saturday, Mar 09 2024",,,,,,,
Time: 11:10:08 PM,,,,,,,
Station,"Bapuji Nagar, Bengaluru - KSPCB",,,,,,
Parameter,"PM10,NO2,CO,Ozone,Temp,RH",,,,,,
AvgPeriod,24 Hours,,,,,,
From,01-02-2019 T00:00:00Z 00:00,,,,,,
To,29-02-2024 T23:06:59Z 00:00,,,,,,
,,,,,,,
"Bapuji Nagar, Bengaluru - KSPCB",,,,,,,
 , ,Bapuji Nagar  Bengaluru - KSPCB , , , , ,
From Date,To Date,PM10,NO2,CO,Ozone,Temp,RH
01-02-2019 00:00,02-02-2019 00:00,110.72,77.81,1.04,85.09,25.12,53.17
02-02-2019 00:00,03-02-2019 00:00,104.84,80.23,0.94,83.29,24.06,53.06
03-02-2019 00:00,04-02-2019 00:00,87.57,67.54,0.75,95.85,23.89,53.47
04-02-2019 00:00,05-02-2019 00:00,83.15,67.62,0.93,62.25,23.78,53.59
05-02-2019 00:00,06-02-2019 00:00,86.12,65.07,0.77,90.85,23.76,56.34
06-02-2019 00:00,07-02-2019 00:00,112.11,75.97,0.9,115.16,23.95,45.11
07-02-2019 00:00,08-02-2019 00:00,115.9,75.9,0.88,77.14,24.1,46.85
08-02-2019 00:00,09-02-2019 00:00,108.01,62.16,0.71,100.22,24.65,51.47
09-02-2019 00:00,10-02-2019 00:00,144.31,82.5,1.27,62.79,26.12,59.35
10-02-2019 00:00,11-02-2019 00:00,101.71,66.2,0.99,56.49,25.96,62.79
11-02-2019 00:00,12-02-2019 00:00,92.13,60.2,0.91,48.01,25.98,61.55
12-02-2019 00:00,13-02-2019 00:00,106.3,71.17,0.95,67.1,26.11,57.83
13-02-2019 00:00,14-02-2019 00:00,106.27,74.34,0.99,75.21,26.19,55.03
14-02-2019 00:00,15-02-2019 00:00,87.8,67.33,0.82,68.5,25.96,50.81
15-02-2019 00:00,16-02-2019 00:00,77.78,64.88,0.75,66.96,26.35,56.45
16-02-2019 00:00,17-02-2019 00:00,114.6,73.48,1.25,78.24,26.29,51.53
17-02-2019 00:00,18-02-2019 00:00,95.97,65.21,0.88,73.39,25.88,46.77
18-02-2019 00:00,19-02-2019 00:00,111.31,76.46,1.01,64.93,26.08,37.91
19-02-2019 00:00,20-02-2019 00:00,86.48,59.19,0.84,77.26,26.22,53.44
20-02-2019 00:00,21-02-2019 00:00,77.37,59.18,0.81,47.48,27.9,52.53
21-02-2019 00:00,22-02-2019 00:00,102.73,65.3,0.81,44.03,28.83,46.61
22-02-2019 00:00,23-02-2019 00:00,107.17,64.62,0.59,57.77,27.24,39.03
23-02-2019 00:00,24-02-2019 00:00,98.71,94.47,1.11,51.77,21.53,22.57
24-02-2019 00:00,25-02-2019 00:00,108.15,76.57,0.86,66.86,22.28,31.14
25-02-2019 00:00,26-02-2019 00:00,98.25,75.09,0.78,84.2,22.21,28.23
26-02-2019 00:00,27-02-2019 00:00,122.89,73.96,1.07,65.87,22.43,39.95
27-02-2019 00:00,28-02-2019 00:00,108.25,57.2,0.7,65,23.06,51.95
28-02-2019 00:00,01-03-2019 00:00,134.46,71,0.88,52.91,22.42,39.15
01-03-2019 00:00,02-03-2019 00:00,133.77,74.37,1.07,42.25,23.17,49.8
02-03-2019 00:00,03-03-2019 00:00,87.88,55.24,0.6,62.08,23.03,57.07
03-03-2019 00:00,04-03-2019 00:00,84.71,57.34,0.68,66.04,23.12,53.08
04-03-2019 00:00,05-03-2019 00:00,88.75,48.46,0.59,82.49,23.6,52.42
05-03-2019 00:00,06-03-2019 00:00,118.06,62.83,1.16,65.73,23.13,54.62
06-03-2019 00:00,07-03-2019 00:00,132.38,74.06,1.03,55.71,23.31,41.09
07-03-2019 00:00,08-03-2019 00:00,180.27,82.3,1.26,42.52,23.18,28.24
08-03-2019 00:00,09-03-2019 00:00,149.33,24.07,1.02,34.9,22.73,31.61
09-03-2019 00:00,10-03-2019 00:00,123.29,24.07,0.85,58.53,22.6,53.81
10-03-2019 00:00,11-03-2019 00:00,82,24.07,0.67,67.18,23.14,52.28
11-03-2019 00:00,12-03-2019 00:00,82.41,24.07,0.67,86.17,22.79,45.5
12-03-2019 00:00,13-03-2019 00:00,105.18,69.75,0.54,102.86,23.95,39.5
13-03-2019 00:00,14-03-2019 00:00,112.46,68.95,0.71,95.89,24.23,33.82
14-03-2019 00:00,15-03-2019 00:00,104.82,61.2,0.54,100.74,23.69,30.47
