From Date,PM10,NO2,CO,Ozone,RH,Temp
1/2/2019 0:00,250.59,131.83,1.86,23.52,64.72,18.88
2/2/2019 0:00,270.26,130.72,2.49,28.6,62.94,19.86
3/2/2019 0:00,279.37,121.83,2.03,29.07,59.13,20.1
4/2/2019 0:00,246.44,143.11,2.23,24.75,58.21,20.16
5/2/2019 0:00,256.35,125.45,2.23,29.8,62.05,19.6
6/2/2019 0:00,270.18,138.28,2.11,28.26,59.77,20.51
7/2/2019 0:00,237.54,131.67,1.83,35.55,58.85,22.24
8/2/2019 0:00,190.35,97.27,1.23,46.41,60.49,23.5
9/2/2019 0:00,132.09,54.16,0.92,49.23,65.94,21.9
10/2/2019 0:00,94.51,69.7,0.51,43.89,52.81,19.76
11/2/2019 0:00,135.43,109.81,0.9,33.39,57.63,18.95
12/2/2019 0:00,185.85,105.27,1.22,35.16,58.44,19.35
13-02-2019 00:00,244.4,114.62,1.69,36.93,56.35,20.68
14-02-2019 00:00,300.04,145.24,2.58,35.05,59.18,21.77
15-02-2019 00:00,274.02,136.73,2.11,39.74,59.81,22.82
16-02-2019 00:00,167.56,103.34,1.29,26.14,65.18,21.5
17-02-2019 00:00,114.22,82.28,0.94,37.62,61.78,22.25
18-02-2019 00:00,149.96,107.33,1.19,42.9,52.59,21.31
19-02-2019 00:00,161.02,93.3,1.2,44.71,63.11,23.15
20-02-2019 00:00,119.27,75.02,1.19,32.67,61.68,25.3
21-02-2019 00:00,201.14,90.99,1.33,35.27,63.62,24.74
22-02-2019 00:00,110.41,63.98,0.98,25.87,70.98,25.73
23-02-2019 00:00,173.72,98.56,1.47,32.91,62.97,26.19
24-02-2019 00:00,190.8,90.4,0.92,49.05,45.1,26.14
25-02-2019 00:00,100.15,72.69,0.9,26.87,79.96,20.38
26-02-2019 00:00,53.01,57.83,0.94,19.73,89.9,20.75
27-02-2019 00:00,27.71,52.49,0.75,25.1,88.5,21.01
28-02-2019 00:00,36.84,58.95,0.98,21.51,87.24,20.5
1/3/2019 0:00,89.99,77.42,1.15,34.22,63.76,20.4
2/3/2019 0:00,132.95,97.51,1.36,38.4,58.93,20.56
3/3/2019 0:00,193.57,125.8,1.78,36.32,64.34,21.73
4/3/2019 0:00,119.74,61.7,1.07,24.56,82.73,23.88
5/3/2019 0:00,69.96,62.8,1.2,21.58,81.2,24.48
6/3/2019 0:00,100.42,64.1,1.28,28,78.08,24.25
7/3/2019 0:00,133.65,79.84,1.15,35.89,60.99,23.33
8/3/2019 0:00,131.51,105.24,1.03,34.62,53.4,23.65
9/3/2019 0:00,120.46,88.05,0.8,43.71,51.22,24.99
10/3/2019 0:00,80.08,34.74,0.94,22.81,81.63,25.58
11/3/2019 0:00,97.8,52.73,1.05,21.33,77.28,27.47
12/3/2019 0:00,109.27,44.4,0.94,38.1,72.99,27.79
13-03-2019 00:00,98.85,48.99,1.07,28.7,74.74,28.49
14-03-2019 00:00,126.43,52.15,0.95,50.78,65.59,28.9
15-03-2019 00:00,109.64,81.13,1.05,31.74,70.71,26.29
16-03-2019 00:00,70.97,63.11,0.79,35.07,62.61,26.26
17-03-2019 00:00,93.73,47.78,0.95,50.07,72.01,26.55
18-03-2019 00:00,55.12,68.91,0.78,33.75,66.54,24.67
19-03-2019 00:00,68.78,46.08,0.84,47.47,69.1,26.47
20-03-2019 00:00,81.54,54.65,0.81,30.06,75.88,27.07
21-03-2019 00:00,68.99,23.52,0.73,48.44,70.81,28.05
22-03-2019 00:00,63.81,35.27,0.67,33.34,78.66,27.01
23-03-2019 00:00,99.9,75.2,0.97,32.54,58.89,27.37
24-03-2019 00:00,116.25,74.97,1.11,39.12,46.52,26.63
25-03-2019 00:00,147.95,82.04,1.23,42.26,52.77,27.45
26-03-2019 00:00,128.27,38.88,0.81,46.79,61.12,27.38
27-03-2019 00:00,102.87,63.08,0.68,52.33,55.48,26.66
28-03-2019 00:00,81.11,37.95,0.79,40.3,69.28,27.92
29-03-2019 00:00,70.25,33.19,0.64,24.78,75.49,27.65
30-03-2019 00:00,73.01,27.71,0.69,30.81,76.9,28.32
31-03-2019 00:00,65.12,18.15,0.76,20.9,80.56,28.63
1/4/2019 0:00,45.11,23.44,0.68,29.83,73.61,27.46
2/4/2019 0:00,65.43,22.98,0.75,23.3,78.64,28.61
3/4/2019 0:00,57.81,18.08,0.69,18.73,80.43,28.19
4/4/2019 0:00,56.44,21.04,0.61,20.46,76.31,28.76
5/4/2019 0:00,59.02,25.27,0.61,21.32,74.93,28.15
6/4/2019 0:00,62.35,37.58,0.75,27.34,73.6,26.19
7/4/2019 0:00,41.4,29.19,0.78,45.12,68.75,26.22
8/4/2019 0:00,44.97,29.72,0.69,38.41,64.03,27.38
9/4/2019 0:00,42.41,29.13,0.72,27.5,74.73,26.65
10/4/2019 0:00,35.75,28.79,0.79,22.47,79.55,26.05
11/4/2019 0:00,43.32,19.14,0.77,17.77,80.86,28.54
12/4/2019 0:00,44.58,21.94,0.71,17.17,79.03,29.09
13-04-2019 00:00,57.78,25.16,0.76,33.21,70.63,29.33
14-04-2019 00:00,45.14,16.39,0.71,28.85,76.96,29.25
15-04-2019 00:00,46.14,16.2,0.64,20.24,80.78,29.79
16-04-2019 00:00,64.12,23.75,0.77,32.32,74.57,31.01
17-04-2019 00:00,130.99,52.64,0.89,45.59,58.78,29.91
18-04-2019 00:00,138.16,56.23,0.96,36.64,55.23,29.21
19-04-2019 00:00,84.6,55.67,0.74,42.18,53.83,29.23
20-04-2019 00:00,69.36,35.7,0.78,53.56,55.09,29.08
21-04-2019 00:00,53.24,22.22,0.74,40.06,70.27,28.34
