From Date,PM10,NO2,Ozone,CO,Temp,RH
1/2/2019 0:00,195.19,51.11,28.23,0.72,19.75,62.64
2/2/2019 0:00,154.42,44.24,34.47,0.84,19.36,66.02
3/2/2019 0:00,246.22,47.8,38.2,1.19,19.17,70.33
4/2/2019 0:00,243.22,49.08,33.68,0.93,18.85,72.97
5/2/2019 0:00,275.09,43.09,36.72,0.86,19.31,74.27
6/2/2019 0:00,285.68,52.98,39.26,1.4,19.54,73.83
7/2/2019 0:00,305.83,58.97,34.47,0.87,20.01,71.52
8/2/2019 0:00,150.28,40.17,24.87,0.65,19.07,84.24
9/2/2019 0:00,85.77,34.12,12.21,0.96,17.11,96.96
10/2/2019 0:00,67.83,26.22,29.95,1.02,17.06,85.41
11/2/2019 0:00,129.73,35.58,34.94,1,18.94,71.79
12/2/2019 0:00,185.36,41.35,36.57,1.09,20.02,68.59
13-02-2019 00:00,168.18,42.89,37.6,1.05,20.78,68.94
14-02-2019 00:00,151.53,39.78,36.52,0.89,20.72,69.49
15-02-2019 00:00,196.09,38.51,32.69,0.93,20.62,75.31
16-02-2019 00:00,153.68,28.12,28.51,0.85,19.57,80.35
17-02-2019 00:00,72.55,20.08,39.72,0.91,19.06,78.38
18-02-2019 00:00,165.78,34.04,20.5,1.01,17.98,87.13
19-02-2019 00:00,137.32,37.73,29.79,0.9,18.83,80.12
20-02-2019 00:00,142.19,36.09,37.58,0.91,20.34,74.57
21-02-2019 00:00,122.44,35.49,46.02,1.08,21.39,69.1
22-02-2019 00:00,158.45,44.86,33.66,0.99,21.62,70.48
23-02-2019 00:00,166.91,42.5,34.31,0.88,21.82,75.04
24-02-2019 00:00,149.06,30.55,25.86,0.76,19.15,84.02
25-02-2019 00:00,173.01,47.94,45.17,1.22,21.43,71.39
26-02-2019 00:00,150.01,36.48,48.6,0.84,21,74.15
27-02-2019 00:00,96,34.17,37.61,0.83,19.39,79.55
28-02-2019 00:00,67.7,36.89,26.81,0.94,16.5,84.39
1/3/2019 0:00,76.35,28.87,38.83,1.01,15.82,73.86
2/3/2019 0:00,138.43,37.05,40.1,1.09,17.89,68.78
3/3/2019 0:00,110.81,33.45,40.23,0.81,19.12,64.08
4/3/2019 0:00,143.7,28.28,43.62,1.02,19.21,68.54
5/3/2019 0:00,137.66,37.87,32.62,1.08,18.72,76.1
6/3/2019 0:00,101.64,22.18,51.05,0.82,19.82,63.92
7/3/2019 0:00,134.02,32.9,47.6,1.02,18.7,59.54
8/3/2019 0:00,151.32,41.21,48.14,1.13,18.8,58.58
9/3/2019 0:00,176.09,46.71,47.9,1.22,19.37,58.85
10/3/2019 0:00,159.61,40.5,53.6,1.06,21.85,53.62
11/3/2019 0:00,172.03,43.47,48.91,1,22.25,57.96
12/3/2019 0:00,176.77,40.59,52.36,0.86,22.94,56.1
13-03-2019 00:00,179.26,33.58,50.56,0.92,23.35,59.88
14-03-2019 00:00,200.64,26.84,46.42,1.15,24.55,66.32
15-03-2019 00:00,205.65,29.56,51.74,0.94,25.19,64.88
16-03-2019 00:00,162.29,25.14,58.47,1,24.29,62.33
17-03-2019 00:00,183.96,41.69,51.34,1.07,22.69,59.57
18-03-2019 00:00,209.55,38.59,64.5,1.04,23.41,57.08
19-03-2019 00:00,120.05,38.78,54.24,1.25,22.99,61.3
20-03-2019 00:00,134.93,31.04,67.04,0.96,23.37,63.88
21-03-2019 00:00,171.73,38.2,65.04,1.11,23.64,63.37
22-03-2019 00:00,171.76,25.03,69.18,0.95,24.61,63.59
23-03-2019 00:00,137.22,29.59,56.97,1.11,23.79,70.22
24-03-2019 00:00,225.47,43.02,50.59,1.1,24.1,67.42
25-03-2019 00:00,260.85,45.72,54.73,1.09,25.13,61.14
26-03-2019 00:00,211.18,50.12,29.06,1.17,21.73,77.3
27-03-2019 00:00,131.76,41.18,37.76,1.05,22.66,72.08
28-03-2019 00:00,130.67,49.92,39.72,1.28,24.19,66.33
29-03-2019 00:00,147.19,38.65,51.7,0.89,25.11,67.57
30-03-2019 00:00,145.1,40.07,66.11,1.13,27.01,61.49
31-03-2019 00:00,80.9,24.5,50.09,0.83,22.74,77.08
1/4/2019 0:00,41.33,28.01,54.27,0.98,22.66,75.53
2/4/2019 0:00,80.1,33.67,43.52,1.03,23.89,68.61
3/4/2019 0:00,72.95,18.08,63.25,0.94,23.81,64.9
4/4/2019 0:00,64.35,20.25,48.85,1.02,23.71,68.44
5/4/2019 0:00,65.78,34.12,36.67,0.84,23.49,75.57
6/4/2019 0:00,54.39,37.96,35.67,0.87,21.48,84.85
7/4/2019 0:00,30.54,27.21,50.41,0.85,23.06,74.96
8/4/2019 0:00,54.72,42.63,44.6,0.98,24.05,70.7
9/4/2019 0:00,46.42,28.48,52.71,0.97,22.71,78.87
10/4/2019 0:00,52.54,42.71,47.9,1.15,24.33,70.34
11/4/2019 0:00,81.11,43.19,46.8,1.11,25.71,68.87
12/4/2019 0:00,98.53,39.21,43.17,1.18,26.91,68.09
13-04-2019 00:00,112.84,33.44,37.5,1,26.96,69.96
14-04-2019 00:00,45.73,27.46,46.35,0.94,25.58,70.82
15-04-2019 00:00,50.68,30.17,43.42,1.03,26.65,68.82
16-04-2019 00:00,57.43,24.63,42.13,1.12,25.97,75.33
17-04-2019 00:00,59.43,17.72,57.65,1.09,25.19,73.92
18-04-2019 00:00,111.59,24.18,38.84,1.14,24.96,77.91
19-04-2019 00:00,89.12,28.9,63.84,0.88,27.09,57.7
20-04-2019 00:00,92.49,49.27,57.28,1.21,26.19,57.41
21-04-2019 00:00,78.83,22.76,73.83,0.77,25.42,63.53
22-04-2019 00:00,73.92,41.81,49.81,1.01,24.13,71.93
23-04-2019 00:00,75.93,46.61,53.87,1.19,26.65,61.58
24-04-2019 00:00,83.99,35.92,58.64,1.05,27.66,59.52
25-04-2019 00:00,123.95,40.29,45.83,1.14,28.14,65.8
26-04-2019 00:00,69.68,31.57,53.04,0.96,27.21,70.38
27-04-2019 00:00,79.12,39.85,42.47,0.95,27.78,66.61
28-04-2019 00:00,59.08,24.87,36.68,1.02,25.54,82.65
29-04-2019 00:00,60.64,28.21,34.84,1.19,25.5,81.33
30-04-2019 00:00,46.14,25.07,32.07,1.16,25.06,81.93
1/5/2019 0:00,47.24,25.08,30.8,0.98,25.3,83.24
2/5/2019 0:00,44.55,27.84,38.26,1.01,25.44,81.93
3/5/2019 0:00,38.5,27.16,30.83,1.04,23.93,89.97
4/5/2019 0:00,28.38,18.07,26.58,1.11,24.08,87.78
5/5/2019 0:00,64.8,27.92,26.82,0.88,24.56,86.6
6/5/2019 0:00,95.49,46.18,44.92,1.09,27.06,73.83
7/5/2019 0:00,116.48,27.32,48.17,0.95,26.89,74.11
8/5/2019 0:00,79.87,27.8,48.49,1.03,25.65,74.45
9/5/2019 0:00,92.14,25.88,36.78,1.09,25.38,79.05
10/5/2019 0:00,99.19,26.94,31.28,1.19,25.56,83.26
11/5/2019 0:00,100.78,29.2,30.57,1.05,24.88,84.91
12/5/2019 0:00,94.5,26.78,39.88,0.95,25.46,79.68
13-05-2019 00:00,82.4,36.43,46.37,1.14,26.6,75.47
14-05-2019 00:00,73.92,32.56,36.34,0.94,24.72,82.96
15-05-2019 00:00,55.01,33.44,37.4,0.94,25.34,78.95
16-05-2019 00:00,53.1,37.52,27.36,0.98,24.24,84.39
17-05-2019 00:00,59.75,31.71,29.25,1.11,25.6,84.83
18-05-2019 00:00,70.67,15.49,34.46,1.04,25.99,83.96
19-05-2019 00:00,74.21,11.78,32.72,1.03,26.31,79.31
20-05-2019 00:00,84.57,19.31,43.27,0.92,27.49,73.43
21-05-2019 00:00,61.23,31.11,38.03,0.97,24.65,86.23
22-05-2019 00:00,58.99,19.53,38.06,0.95,26.44,79.47
23-05-2019 00:00,30.41,6.79,46.66,0.98,24.43,84.79
24-05-2019 00:00,30.03,15.81,41.89,0.99,24.44,83.22
25-05-2019 00:00,32.89,22.74,40.92,0.91,24.26,83.43
26-05-2019 00:00,45.13,22.26,32.05,0.95,25.29,86.77
27-05-2019 00:00,76.92,25.17,44.9,0.81,26.72,77.15
28-05-2019 00:00,46.91,19.61,46.17,1.1,26.6,77.74
29-05-2019 00:00,49.67,24.16,46.54,1.14,26.99,73.67
30-05-2019 00:00,56.78,29.35,52.61,1.08,25.72,77.13
31-05-2019 00:00,52.31,27.48,56.46,1.07,25.53,76.53
1/6/2019 0:00,62.52,33.66,48.87,1.17,26.94,73.73
2/6/2019 0:00,67.31,26.82,40.93,1,25.3,81.92
3/6/2019 0:00,57.18,28.11,32.28,0.95,26.2,77.99
4/6/2019 0:00,50.72,20.47,42.32,1,26.81,75.77
5/6/2019 0:00,37.81,15.02,42.84,1.07,27.85,71.7
6/6/2019 0:00,45.05,15.77,28.41,1.16,27.56,78.36
7/6/2019 0:00,50.99,18.11,23.47,1.17,26.67,84.85
8/6/2019 0:00,34.81,18.89,23.7,1.27,27.07,82.35
9/6/2019 0:00,38.7,18.19,22.75,1.01,26.92,82.86
10/6/2019 0:00,45.44,30.16,25.22,1,26.92,80.53
11/6/2019 0:00,36.07,25.65,36.07,0.93,25.87,84.56
12/6/2019 0:00,71,34.51,26.91,1.09,28.76,72.53
13-06-2019 00:00,70.06,29.59,28.91,1.01,30.08,68.93
14-06-2019 00:00,81.62,29.74,27.05,0.91,28.45,79.31
15-06-2019 00:00,27.29,19.94,28.61,1.12,26.11,88.63
16-06-2019 00:00,49.84,18.57,28.04,0.98,26.52,87.74
17-06-2019 00:00,60.84,26.65,29.56,1.07,26.13,85.65
18-06-2019 00:00,61.84,33.85,24.87,1.12,26.77,83.95
19-06-2019 00:00,74.16,28.22,22.96,1.02,28.79,77.25
20-06-2019 00:00,81.98,28.94,19.46,0.97,27.64,80.24
21-06-2019 00:00,67.42,20.26,19.07,0.83,27.65,80.87
22-06-2019 00:00,45.39,23.47,18.38,0.93,28.3,78.52
23-06-2019 00:00,42.62,16.99,21.62,0.83,28.58,79.7
24-06-2019 00:00,59.25,18.71,21.92,0.86,29.02,79.24
25-06-2019 00:00,46.83,19.69,22.68,1.01,26.8,88.23
26-06-2019 00:00,30.66,21.83,17.65,1.01,24.75,95.04
27-06-2019 00:00,41.26,19.48,16.86,1.05,25.71,90.07
28-06-2019 00:00,55.38,23.13,21.11,1.11,26.32,87.4
29-06-2019 00:00,49.79,16.78,22.28,0.76,26.99,84.16
30-06-2019 00:00,50.83,21.02,16.67,0.93,28.46,76.84
1/7/2019 0:00,67.15,21.24,14.82,0.81,29.21,75.05
2/7/2019 0:00,31.71,15.57,15.22,0.98,28.38,75.15
3/7/2019 0:00,36.1,19.85,13.67,1.07,27.55,81.94
4/7/2019 0:00,44.14,19.49,13.18,1.03,28.03,81.8
5/7/2019 0:00,34.49,16.73,13.92,0.93,27.82,82.06
6/7/2019 0:00,39.57,15.24,14.02,1.08,27.85,79.87
7/7/2019 0:00,24.23,10.49,14.37,1.02,25.96,88.09
8/7/2019 0:00,22.01,14.24,14.94,1.08,25.86,90.89
9/7/2019 0:00,22.31,13.25,16.96,1.03,25.81,90.68
10/7/2019 0:00,19.31,21.31,15.53,0.9,25.18,93.85
11/7/2019 0:00,20.88,28.39,14.52,0.39,24.73,95.64
12/7/2019 0:00,26.92,20.05,18.23,0.53,24.37,94.62
13-07-2019 00:00,25.46,16.86,20.63,0.13,24.59,93.23
14-07-2019 00:00,20.52,14.71,16.96,0.22,24.49,93.53
15-07-2019 00:00,23.46,17.16,16.49,0.39,24.24,96.11
16-07-2019 00:00,26.93,20.26,20.69,0.46,25.74,88.02
17-07-2019 00:00,54.34,21.19,17.17,0.84,27.03,85.33
18-07-2019 00:00,56.39,19.13,19.43,0.71,27.67,84.33
19-07-2019 00:00,42.62,16.8,22.47,0.75,26.82,86.3
20-07-2019 00:00,33.41,15.16,21.7,0.86,27.02,86.51
21-07-2019 00:00,34.83,14.8,17.88,0.67,27.05,87.45
22-07-2019 00:00,28.07,16.57,18.82,0.52,25.77,93.36
23-07-2019 00:00,35.71,14.53,20.08,0.64,25.65,93.65
24-07-2019 00:00,22.16,18.91,22.77,0.69,24.73,95.9
25-07-2019 00:00,24.08,16.33,17.76,0.71,26.41,89.3
26-07-2019 00:00,29.66,12.52,18.9,0.52,27.71,82.36
27-07-2019 00:00,21.6,13.37,14,0.51,26.06,88.37
28-07-2019 00:00,22.29,12.48,13.5,0.43,27.54,79.45
29-07-2019 00:00,26.36,14.4,12.1,0.6,27.51,79.27
30-07-2019 00:00,30.64,14.19,13.57,0.72,27.71,79.11
31-07-2019 00:00,31.23,14.81,14.04,0.7,26.46,86.84
1/8/2019 0:00,31.52,13.12,16.9,0.78,27.02,84.1
2/8/2019 0:00,29.17,13.85,16.27,0.59,27.64,80.25
3/8/2019 0:00,36.89,15.41,14.54,0.51,28.35,78.21
4/8/2019 0:00,43.14,15.86,15.12,0.21,28.65,77.92
5/8/2019 0:00,47.72,17.24,15.46,0.78,29.66,73.82
6/8/2019 0:00,45.22,16.46,12.8,0.63,30.58,70.14
7/8/2019 0:00,24.12,11.59,15.02,0.56,27.86,80.82
8/8/2019 0:00,16.5,12.13,14.15,0.64,27.43,77.11
9/8/2019 0:00,25.62,14.69,12.16,0.64,27.52,80.51
10/8/2019 0:00,40.4,14.93,14.43,0.34,28.24,81.51
11/8/2019 0:00,48.64,20.01,14.95,0.25,29.37,79.07
12/8/2019 0:00,38.9,15.3,20.24,0.1,29.27,75.96
13-08-2019 00:00,22.86,16.17,18.16,0.43,26.67,85.11
14-08-2019 00:00,20.31,12.89,16.49,0.51,26.8,84.25
15-08-2019 00:00,30.93,12.53,14.31,0.27,27.01,83.92
16-08-2019 00:00,27.47,16.36,17,0.65,26.14,88.96
17-08-2019 00:00,40.97,14.6,20.52,0.56,27.76,82.45
18-08-2019 00:00,37.78,14.81,19.69,0.35,27.22,84.01
19-08-2019 00:00,36.36,20.57,13.6,0.7,26.89,84.59
20-08-2019 00:00,48.11,17.36,13.99,0.33,28.18,79.87
21-08-2019 00:00,45.14,16.07,16.65,0.74,28.13,81.86
22-08-2019 00:00,52.32,16.14,18.6,0.65,28.82,78.67
23-08-2019 00:00,49.18,23.83,15.9,0.62,26.24,90.45
24-08-2019 00:00,25.88,22,16.95,0.65,26.71,85.61
25-08-2019 00:00,30.28,16.86,13.84,0.48,27.49,82.05
26-08-2019 00:00,43.51,22.22,12.05,0.55,28.51,79.94
27-08-2019 00:00,54.66,17.34,17.57,0.51,28.82,79.84
28-08-2019 00:00,53.95,19.8,17.19,0.45,28.17,82.78
29-08-2019 00:00,40.1,18.36,19.16,0.46,28.01,81.42
30-08-2019 00:00,50.61,17.05,18.88,0.43,28.33,82.71
31-08-2019 00:00,39.29,23.47,14.37,0.6,26.12,88.94
1/9/2019 0:00,59.44,22.47,16.71,0.65,28.85,78.45
2/9/2019 0:00,53.61,19.61,17.42,0.39,28.83,79.53
3/9/2019 0:00,28.3,23.82,13.43,0.63,27.26,83.57
4/9/2019 0:00,34.92,21.47,13.2,0.44,27.05,84.39
5/9/2019 0:00,34.95,17.3,14.32,0.46,27.69,81.65
6/9/2019 0:00,29.79,21.04,13.03,0.56,27.3,82.91
7/9/2019 0:00,34.22,17.69,13.25,0.47,27.96,79.6
8/9/2019 0:00,23.89,29.54,12.27,0.46,26.36,89.43
9/9/2019 0:00,27.92,26.18,13.66,0.41,25.97,89.06
10/9/2019 0:00,35.18,17.75,14.41,0.42,27.15,85.18
11/9/2019 0:00,38.22,18.17,17.27,0.35,26.86,86.22
12/9/2019 0:00,35.97,18.51,12.93,0.36,26.53,85.85
13-09-2019 00:00,23.24,18.05,14.58,0.45,25.03,93.07
